geoid,timestep,deaths
17031010100,2,3
17031010201,2,0
17031010202,2,0
17031010300,2,1
17031010400,2,1
17031010501,2,2
17031010502,2,1
17031010503,2,0
17031010600,2,1
17031010701,2,1
17031010702,2,1
17031020100,2,0
17031020200,2,1
17031020301,2,0
17031020302,2,0
17031020400,2,0
17031020500,2,3
17031020601,2,0
17031020602,2,0
17031020701,2,0
17031020702,2,0
17031020801,2,0
17031020802,2,3
17031020901,2,1
17031020902,2,0
17031030101,2,4
17031030102,2,1
17031030103,2,0
17031030104,2,0
17031030200,2,1
17031030300,2,1
17031030400,2,0
17031030500,2,0
17031030601,2,1
17031030603,2,1
17031030604,2,0
17031030701,2,1
17031030702,2,1
17031030703,2,0
17031030706,2,0
17031030800,2,1
17031030900,2,0
17031031000,2,0
17031031100,2,1
17031031200,2,0
17031031300,2,2
17031031400,2,0
17031031501,2,2
17031031502,2,0
17031031700,2,3
17031031800,2,0
17031031900,2,0
17031032100,2,0
17031040100,2,0
17031040201,2,2
17031040202,2,2
17031040300,2,0
17031040401,2,1
17031040402,2,1
17031040600,2,1
17031040700,2,1
17031040800,2,0
17031040900,2,0
17031050100,2,0
17031050200,2,0
17031050300,2,0
17031050500,2,0
17031050600,2,1
17031050700,2,0
17031050800,2,0
17031050900,2,0
17031051000,2,0
17031051100,2,0
17031051200,2,1
17031051300,2,0
17031051400,2,1
17031060100,2,0
17031060200,2,0
17031060300,2,0
17031060400,2,1
17031060500,2,0
17031060800,2,0
17031060900,2,2
17031061000,2,0
17031061100,2,0
17031061200,2,0
17031061500,2,0
17031061800,2,1
17031061901,2,0
17031061902,2,0
17031062000,2,0
17031062100,2,1
17031062200,2,0
17031062300,2,0
17031062400,2,0
17031062500,2,1
17031062600,2,0
17031062700,2,0
17031062800,2,0
17031062900,2,0
17031063000,2,0
17031063100,2,0
17031063200,2,2
17031063301,2,0
17031063302,2,0
17031063303,2,0
17031063400,2,0
17031070101,2,1
17031070102,2,1
17031070103,2,0
17031070200,2,0
17031070300,2,0
17031070400,2,0
17031070500,2,0
17031070600,2,0
17031070700,2,0
17031071000,2,0
17031071100,2,0
17031071200,2,0
17031071300,2,0
17031071400,2,0
17031071500,2,1
17031071600,2,1
17031071700,2,0
17031071800,2,0
17031080100,2,1
17031080201,2,0
17031080202,2,0
17031080300,2,0
17031080400,2,0
17031081000,2,1
17031081100,2,0
17031081201,2,0
17031081202,2,0
17031081300,2,0
17031081401,2,2
17031081402,2,1
17031081403,2,1
17031081500,2,0
17031081600,2,2
17031081700,2,1
17031081800,2,0
17031081900,2,1
17031090100,2,0
17031090200,2,0
17031090300,2,0
17031100100,2,1
17031100200,2,2
17031100300,2,0
17031100400,2,0
17031100500,2,0
17031100600,2,1
17031100700,2,0
17031110100,2,2
17031110200,2,0
17031110300,2,1
17031110400,2,1
17031110501,2,1
17031110502,2,0
17031120100,2,1
17031120200,2,2
17031120300,2,1
17031120400,2,0
17031130100,2,1
17031130200,2,0
17031130300,2,0
17031140100,2,0
17031140200,2,1
17031140301,2,0
17031140302,2,0
17031140400,2,0
17031140500,2,1
17031140601,2,1
17031140602,2,1
17031140701,2,0
17031140702,2,2
17031140800,2,2
17031150200,2,1
17031150300,2,1
17031150401,2,2
17031150402,2,0
17031150501,2,0
17031150502,2,3
17031150600,2,0
17031150700,2,1
17031150800,2,3
17031151001,2,0
17031151002,2,1
17031151100,2,1
17031151200,2,0
17031160100,2,1
17031160200,2,0
17031160300,2,1
17031160400,2,2
17031160501,2,1
17031160502,2,1
17031160601,2,0
17031160602,2,0
17031160700,2,1
17031160800,2,0
17031160900,2,0
17031161000,2,0
17031161100,2,0
17031161200,2,1
17031161300,2,0
17031170100,2,0
17031170200,2,0
17031170300,2,0
17031170400,2,0
17031170500,2,1
17031170600,2,0
17031170700,2,1
17031170800,2,1
17031170900,2,0
17031171000,2,0
17031171100,2,0
17031180100,2,0
17031190100,2,0
17031190200,2,0
17031190300,2,1
17031190401,2,0
17031190402,2,2
17031190601,2,2
17031190602,2,1
17031190701,2,0
17031190702,2,1
17031190800,2,0
17031190900,2,0
17031191000,2,1
17031191100,2,1
17031191200,2,0
17031191301,2,1
17031191302,2,1
17031200100,2,1
17031200200,2,0
17031200300,2,0
17031200401,2,1
17031200402,2,0
17031210100,2,1
17031210400,2,1
17031210501,2,0
17031210502,2,1
17031210601,2,0
17031210602,2,1
17031210700,2,1
17031210800,2,0
17031210900,2,1
17031220300,2,0
17031220400,2,1
17031220500,2,1
17031220601,2,0
17031220602,2,1
17031220701,2,2
17031220702,2,0
17031220901,2,0
17031220902,2,0
17031221000,2,0
17031221100,2,2
17031221200,2,0
17031221300,2,0
17031221400,2,1
17031221500,2,0
17031221600,2,0
17031222200,2,0
17031222500,2,1
17031222600,2,2
17031222700,2,0
17031222800,2,0
17031222900,2,1
17031230100,2,1
17031230200,2,0
17031230300,2,0
17031230400,2,1
17031230500,2,2
17031230600,2,4
17031230700,2,4
17031230800,2,1
17031230900,2,0
17031231100,2,2
17031231200,2,5
17031231500,2,8
17031240200,2,0
17031240300,2,0
17031240500,2,0
17031240600,2,1
17031240700,2,0
17031240800,2,1
17031240900,2,4
17031241000,2,0
17031241100,2,0
17031241200,2,0
17031241300,2,0
17031241400,2,1
17031241500,2,0
17031241600,2,2
17031242000,2,2
17031242100,2,0
17031242200,2,0
17031242300,2,0
17031242400,2,1
17031242500,2,0
17031242600,2,3
17031242700,2,0
17031242800,2,0
17031242900,2,0
17031243000,2,0
17031243100,2,0
17031243200,2,2
17031243300,2,0
17031243400,2,0
17031243500,2,0
17031250200,2,0
17031250300,2,1
17031250400,2,2
17031250500,2,2
17031250600,2,2
17031250700,2,5
17031250800,2,1
17031251000,2,0
17031251100,2,2
17031251200,2,3
17031251300,2,5
17031251400,2,1
17031251500,2,3
17031251600,2,2
17031251700,2,2
17031251800,2,2
17031251900,2,7
17031252000,2,2
17031252101,2,0
17031252102,2,5
17031252201,2,5
17031252202,2,5
17031260100,2,1
17031260200,2,3
17031260300,2,2
17031260400,2,7
17031260500,2,4
17031260600,2,4
17031260700,2,6
17031260800,2,3
17031260900,2,5
17031261000,2,1
17031270500,2,5
17031271200,2,5
17031271300,2,0
17031271400,2,2
17031271500,2,2
17031271800,2,0
17031280100,2,2
17031280400,2,2
17031280800,2,0
17031280900,2,0
17031281900,2,2
17031282700,2,2
17031282800,2,0
17031283100,2,0
17031283200,2,1
17031283800,2,0
17031290900,2,5
17031291200,2,1
17031291600,2,0
17031292200,2,1
17031292400,2,2
17031292500,2,2
17031300500,2,0
17031300600,2,0
17031300700,2,0
17031300800,2,3
17031300900,2,0
17031301100,2,1
17031301200,2,4
17031301600,2,0
17031301701,2,1
17031301702,2,0
17031301801,2,2
17031301802,2,0
17031301803,2,0
17031310200,2,0
17031310300,2,0
17031310400,2,2
17031310500,2,0
17031310600,2,2
17031310700,2,1
17031310800,2,1
17031310900,2,0
17031320101,2,1
17031320102,2,3
17031320400,2,2
17031320600,2,2
17031330101,2,0
17031330102,2,1
17031330103,2,1
17031330200,2,2
17031340300,2,0
17031340400,2,0
17031340500,2,1
17031340600,2,0
17031350100,2,0
17031350400,2,1
17031351000,2,0
17031351100,2,0
17031351400,2,0
17031351500,2,0
17031360200,2,2
17031380100,2,0
17031380200,2,0
17031380600,2,2
17031381200,2,0
17031381400,2,3
17031381500,2,0
17031381800,2,1
